category,detail,amount
METROPOLITAN COUNCIL,Inver Grove Heights - Heritage Village Park,2000000
METROPOLITAN COUNCIL,Maplewood - Fish Creek Trail,318000
METROPOLITAN COUNCIL,Minneapolis - Sculpture Garden Drainage Control,8500000
METROPOLITAN COUNCIL,Oakdale - Nature Preserve,150000
METROPOLITAN COUNCIL,St. Paul - Como Regional Park Access,5400000
METROPOLITAN COUNCIL,Washington County - Hastings Bridge Trail Connection,1600000
METROPOLITAN COUNCIL,West St. Paul - North Urban Regional Trail Bridge,2000000
HUMAN SERVICES,Minnesota Security Hospital - St. Peter,56317000
HUMAN SERVICES,Minnesota Sex Offender Program - St. Peter,7405000
HUMAN SERVICES,Early Childhood Learning and Child Protection Facilities,6000000
HUMAN SERVICES,Asset Preservation,3000000
HUMAN SERVICES,Maplewood - Harriet Tubman Center East,720000
HUMAN SERVICES,Hennepin County - St. David's Center for Child and Family Development,3750000
HUMAN SERVICES,St. Louis County - Arrowhead Economic Opportunity Agency and Range Mental Health Office,3000000
HUMAN SERVICES,St. Paul - Dorothy Day Center,6000000
HUMAN SERVICES,Advocating for Change Together,195000
VETERANS AFFAIRS,Asset Preservation,2000000
VETERANS AFFAIRS,Minneapolis - Deep Tunnel,700000
VETERANS AFFAIRS,North St. Paul - Veterans Memorial,100000
CORRECTIONS,Asset Preservation,5500000
CORRECTIONS,Minnesota Correctional Facility - Shakopee,5381000
CORRECTIONS,Northeast Regional Corrections Center,1000000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Greater Minnesota Business Development Public Infrastructure Grants,4000000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Alexandria - Redevelopment,1400000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Chatfield - Center for the Arts,5352000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Clara City - Business Park,748000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Cosmos - Municipal Building,600000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Fosston - Second Street Road Improvement,400000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Grand Rapids - Independent School District No. 318,3897000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Hanover - Bridge,78000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Lake Elmo - Water Supply,3500000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Litchfield - Electrical,250000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Minneapolis - Brian Coyle Community Center,330000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Minneapolis - Hennepin Center for the Arts,550000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Minneapolis - Nicollet Mall,21500000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Park Rapids - Upper Mississippi Arts Center,2500000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Red Wing - River Renaissance,1560000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,St. Paul - Minnesota Children's Museum,6515000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,St. Paul - Historic Palace Theater Renovation,5000000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,St. Paul - Ordway Center for the Performing Arts,4000000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,St. Paul - Minnesota Public Media Commons,9000000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Thief River Falls Airport - Public Infrastructure,650000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Thief River Falls - Public Infrastructure,800000
EMPLOYMENT AND ECONOMIC DEVELOPMENT,Virginia - Highway 53 Utilities Relocation,19500000
PUBLIC FACILITIES AUTHORITY,State Match for Federal Grants,12000000
PUBLIC FACILITIES AUTHORITY,Wastewater Infrastructure Funding Program,18333000
PUBLIC FACILITIES AUTHORITY,Big Lake Area Sanitary District,4500000
PUBLIC FACILITIES AUTHORITY,Rice Lake Township - Water Main Replacement,1168000
PUBLIC FACILITIES AUTHORITY,Truman - Storm Water Project,1425000
PUBLIC FACILITIES AUTHORITY,Voyageurs National Park Clean Water Joint Powers Board,8567000
MINNESOTA HOUSING FINANCE AGENCY,MN Housing Finance Agency,20000000
MINNESOTA HISTORICAL SOCIETY,Oliver H. Kelley Farm Historic Site,10562000
MINNESOTA HISTORICAL SOCIETY,Historic Sites Asset Preservation,1440000
BOND SALE EXPENSES,BOND SALE EXPENSES,900000
