,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,variety_color
813,Australia,"Built for early consumption, this blend of 59% Grenache, 22% Shiraz and 19% Mataro is lush and warm, offering chocolaty notes alongside hints of brown sugar, grilled meat and blueberries. Drink now–2022.",Cuvee Juveniles,90,22.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Torbreck 2013 Cuvee Juveniles Red (Barossa Valley),Red Blend,Torbreck,#3F4788
866,Australia,"This is ripe, rich and even a touch tannic—almost more of a light red than a true rosé. This makes it ideally suited to serve alongside summer's various grilled meats. Raspberry and cola flavors finish spicy and round.",Handpicked Grenache,90,25.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Beresford 2014 Handpicked Grenache Rosé (McLaren Vale),Rosé,Beresford,#450558
893,Australia,"This is an unusually complex Shiraz for the price, ably marrying meaty-savory notes with tart berries and plenty of weight on the palate. Crisp structure, finishes long, with lingering acids. Drink now–2018.",Heavy Metal,90,15.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Hungerford Hill 2008 Heavy Metal Shiraz (South Eastern Australia),Shiraz,Hungerford Hill,#471669
920,Australia,"Green beans and snap peas give this Sauvignon Blanc a green cast overall, but there's some citrus and gooseberry fruit as well. It's clean and refreshing on the finish.",Breathing Space,87,35.43766346992153,Australia Other,Australia,,Joe Czerwinski,@JoeCz,Evans & Tate 2015 Breathing Space Sauvignon Blanc (Australia),Sauvignon Blanc,Evans & Tate,#482172
924,Australia,"This medium-bodied wine features aromas of green apple and crushed stone, while the flavors turn citrusy, veering toward lime and grapefruit. It's nicely silky in texture, while a hint of snow pea marks the finish.",,87,18.0,South Australia,Adelaide Hills,,Joe Czerwinski,@JoeCz,Sidewood 2014 Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,Sidewood,#482172
987,Australia,"While lacking the vibrant fruit typical of the variety, there are some attractive hay and honey scents on nose. The full-bodied and soft-textured palate is cloaked in vanilla, which lingers on the finish.",,88,25.0,South Australia,Barossa Valley,,,,Sieber Rd 2007 Viognier (Barossa Valley),Viognier,Sieber Rd,#45347F
997,Australia,"Blended from a patchwork of old vineyards throughout the Barossa, this is typical Barossa Shiraz, with plenty of weight and creamy tannins that support plummy, chocolaty fruit. There's a bit of spice for complexity and a crisp, fresh finish. Drink now–2014.",Patchwork,88,18.0,South Australia,Barossa,,Joe Czerwinski,@JoeCz,Yalumba 2006 Patchwork Shiraz (Barossa),Shiraz,Yalumba,#471669
1008,Australia,"Intense and focused, this good value Coonawarra opens with notes of leather and polished wood overlaid with red-berry fruit. Tannins are smooth, but there's plenty of lip-smacking acidity to keep the cherry cordial and plum fruit flavors lively. Drink now. Imported by Freixenet USA.",,88,14.0,South Australia,Coonawarra,,,,Nick Faldo 2005 Shiraz (Coonawarra),Shiraz,Nick Faldo,#471669
1074,Australia,"Sourced from vines planted in 1847, this is a full-bodied, open-knit wine, supple and velvety in texture. Vanilla cream and black cherries mark the nose, while the flavors are more savory, resembling black olives and grilled meat. It's long and lush on the finish. Drink it now through 2025.",Moorooroo,94,100.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Schild Estate 2013 Moorooroo Shiraz (Barossa Valley),Shiraz,Schild Estate,#471669
1154,Australia,"This wine boasts admirable complexity, but comes across as a bit angular, with the acids maybe a touch too prominent. Still, the flavors of mint, pepper and meat layered over plum and raspberry fruit offer a lot to like, and the acids may actually make this wine more versatile with food than many more unctuous Shiraz.",Old Vine,87,19.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Fire Block 2004 Old Vine Shiraz (Clare Valley),Shiraz,Fire Block,#471669
1182,Australia,"Beyond a hint of stuck flint on the nose, this offers clean, varietally correct aromas and flavors of white nectarine, grapefruit and gooseberry. It's nicely balanced in the middle of the spectrum, offering a harmonious mix of stone fruit and citrus.",Beacon Hill,88,13.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Beresford 2014 Beacon Hill Sauvignon Blanc (South Australia),Sauvignon Blanc,Beresford,#482172
1198,Australia,"At less than 13% abv, this is on the lighter side of the Rhône white spectrum, offering simple pear and toasted marshmallow aromas and flavors that finish lean and crisp.",B Minor,87,25.0,Victoria,Goulburn Valley,,Joe Czerwinski,@JoeCz,Ben Haines 2015 B Minor Marsanne-Roussanne (Goulburn Valley),Marsanne-Roussanne,Ben Haines,#3D4A89
1199,Australia,"This is plump and custardy in feel, but still refreshing thanks to bright apple and lime aromas and flavors. It's more citrus than apple on the crisp finish.",Beacon Hill,87,13.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Beresford 2014 Beacon Hill Pinot Grigio (South Australia),Pinot Grigio,Beresford,#423D84
1478,Australia,"This 60-40 blend features gentle aromas of vanilla and cassis in a medium-bodied, creamy-smooth format. It's not powerful or complex, but offers pure cassis and vanilla flavors tinged with chocolate on the finish. Good value.",Yellow Label,85,12.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Wolf Blass 2005 Yellow Label Shiraz-Cabernet Sauvignon (South Australia),Shiraz-Cabernet Sauvignon,Wolf Blass,#460B5E
1636,Australia,"Tightly constructed for an entry-priced Chardonnay, this has faint almond nuttiness accenting pineapple and grapefruit flavors. Drink this medium-bodied wine through mid-2018.",,85,8.0,Australia Other,Australia,,Joe Czerwinski,@JoeCz,Jacob's Creek 2016 Chardonnay (Australia),Chardonnay,Jacob's Creek,#440154
1649,Australia,"This shows some pungent, boxwood-like scents up front, followed by modest passion fruit and a bit of citrus, falling away on the finish. Drink now.",Exmoor,85,16.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Xanadu 2015 Exmoor Sauvignon Blanc-Semillon (Margaret River),Sauvignon Blanc-Semillon,Xanadu,#3C4E8A
1666,Australia,"Wet stone and graphite scents up front give way to hints of honey and Earl Grey tea (bergamot). It's medium bodied and fades quickly on the finish, but it's a solid buy for under $10.",,85,9.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Half Mile Creek 2014 Semillon-Sauvignon Blanc (South Eastern Australia),Semillon-Sauvignon Blanc,Half Mile Creek,#3A538B
1706,Australia,"This medium-bodied Chardonnay features ample apple, pear and pineapple fruit that comes across as pleasant and mouthfilling, if also a bit one-dimensional. Still, it represents a reasonable value.",Lost Block,86,14.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Tyrrell's 2006 Lost Block Chardonnay (South Eastern Australia),Chardonnay,Tyrrell's,#440154
1707,Australia,"This is a straightforward, plump, fruity Chardonnay. Round peach and lemon flavors get a burst of energy from hints of pineapple and citrus, finishing clean and fresh. Drink now.",,86,23.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Vasse River 2006 Chardonnay (Margaret River),Chardonnay,Vasse River,#440154
1712,Australia,"Seems almost sweet, with cherry and chocolate flavors that dominate the palate. Drink now.",,85,20.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Battle of Bosworth 2005 Shiraz-Viognier (McLaren Vale),Shiraz-Viognier,Battle of Bosworth,#462F7C
1723,Australia,"Tart blackberry and vanilla flavors mark this bold Shiraz that shows its 14.5% alcohol. There's a rubbery note on the nose that's a bit distracting but should be taken care of by a quick decanting, while black olive and coffee notes emerge on the slightly warm finish.",Nine Gums Vineyard,85,30.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Brick Road 2005 Nine Gums Vineyard Shiraz (McLaren Vale),Shiraz,Brick Road,#471669
1886,Australia,"Big, bold and structured, this is a dry yet mouthwatering beast of a Shiraz, its blackberry, mocha and black olive notes held in check by firm tannins. Give it 3–4 years in the cellar, then drink it over the next several years.",Reserve,93,50.0,South Australia,Padthaway,,Joe Czerwinski,@JoeCz,Henry's Drive Vignerons 2008 Reserve Shiraz (Padthaway),Shiraz,Henry's Drive Vignerons,#471669
1890,Australia,"A product of a hot, short growing season, Lake Folly's 2003 Cabernet Sauvignon shows some slightly overripe notes of cola and prune, but also features a high degree of richness allied to a broad, mouthfilling texture. It lacks nuance, but it is a big, flavorful mouthful that ends with hints of coffee and chocolate. Drink now–2010.",Follett Family Vineyards,89,20.0,South Australia,Langhorne Creek,,Joe Czerwinski,@JoeCz,Lake Breeze 2003 Follett Family Vineyards Cabernet Sauvignon (Langhorne Creek),Cabernet Sauvignon,Lake Breeze,#471163
1891,Australia,"Softer and more approachable than the winery's powerful 2005, this wine offers lush plum, leather and loam notes, accented by a touch of cracked pepper. It's full-bodied and creamy-textured, with a soft finish that invites another sip. Drink now–2012.",Devils Elbow Single Vineyard,89,25.0,South Australia,Adelaide Hills,,Joe Czerwinski,@JoeCz,Longview 2006 Devils Elbow Single Vineyard Cabernet Sauvignon (Adelaide Hills),Cabernet Sauvignon,Longview,#471163
1894,Australia,"Sourced largely from the northern end of the region, this features bold blackberry flavors slightly reminiscent of preserves and marked by dark shadings of cola and chocolate. Yet despite the superripe flavors, the wine remains well structured and retains some slightly herbal overtones. Drink now–2012.",Allyson Parsons,89,18.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Craneford 2005 Allyson Parsons Cabernet Sauvignon (Barossa Valley),Cabernet Sauvignon,Craneford,#471163
1897,Australia,"A very good effort, this may be among the last great values to emerge from Australia, as smaller crops and changing currencies will undoubtedly take their toll. It's remarkable that McLaren Vale fruit can go into a $12 bottle. Black cherry fruit is presented on a medium-bodied, softly tannic frame, embellished by hints of cola and eucalyptus. Finishes soft, with a fine texture of charcoal dust and lingering cassis flavors.",,89,12.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Razor's Edge 2006 Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,Razor's Edge,#471163
1903,Australia,"A crisp medium-bodied Cab with good varietal definition, Strathewen Hill's 2005 Cabernet Sauvignon boasts slightly minty cassis-inflected fruit, vanilla and chocolate notes and a smooth mouthfeel. Supple tannins on the finish suggest this will age well through 2012 or so.",,89,30.0,Victoria,Yarra Valley,,Joe Czerwinski,@JoeCz,Strathewen Hills 2005 Cabernet Sauvignon (Yarra Valley),Cabernet Sauvignon,Strathewen Hills,#471163
1908,Australia,"A soft, medium-bodied wine that tends toward bright, red-berried fruit, this is a solid everyday Cabernet. Cedar and tobacco-leaf notes accent the cherry-berry fruit, while hints of vanilla and caramel linger elegantly on the finish. Drink now.",,88,14.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Nugan Family Estates 2004 Cabernet Sauvignon (South Eastern Australia),Cabernet Sauvignon,Nugan Family Estates,#471163
1909,Australia,"A real crowd-pleaser, the 2005 Shingleback may not have quite the complexity of the 2004, but it's still a fun, approachable wine. Cola and coffee notes accent plum and blackberry flavors, while the broad texture coats the mouth with soft tannins. Drink now–2012.",,88,22.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Shingleback 2005 Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,Shingleback,#471163
1930,Australia,"This is a soft, appealing Chardonnay layered with toasted marshmallow and superripe peach. It's round in the mouth and lushly textured, then turns citrusy—almost metallic—on the finish.",Finisterre,87,30.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Robert Oatley 2011 Finisterre Chardonnay (Margaret River),Chardonnay,Robert Oatley,#440154
1934,Australia,"Mint marks the nose of this otherwise darkly attractive wine. Notes of mocha and plum nicely set up the wine, as do the supple tannins, but then there's a jarring edge of prickly acidity that cuts across the palate and disrupts the flow. There are some nice parts here that don't quite come together.",Reiver,87,53.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Mitolo 2009 Reiver Shiraz (Barossa Valley),Shiraz,Mitolo,#471669
2137,Australia,"Brassy in color and woody in aroma, this Chardonnay is a pleasant enough drink, offering ample weight and modest pear and citrus flavors. Drink it through 2017.",Family Crest,84,21.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Angove 2014 Family Crest Chardonnay (McLaren Vale),Chardonnay,Angove,#440154
2256,Australia,"Not a wine for the faint of heart. Alluring notes of raspberry, blackberry, smoke and coconut set the scene for powerful flavors of strawberry and black pepper in the mouth. Tannins are abundant but polished. The finish is a bit of a disappointment, with a whisper of astringency and a huge hit of coconut. Still, well done and fairly priced. Drink with steak.",,87,16.0,South Australia,McLaren Vale,,,,Ballast Stone Estate Wines 2006 Shiraz (McLaren Vale),Shiraz,Ballast Stone Estate Wines,#471669
2312,Australia,"From a little-known region of Western Australia, this is a restrained, structured example of Chardonnay that may drink well for 5–6 years. Subtle vanilla and bacon shadings upfront add nuance to the melon and pear aromas. Flavors are of soft, fully ripe tree fruit and melon, but held in check by citrusy notes and crisp acids.",,90,33.0,Western Australia,Pemberton,,Joe Czerwinski,@JoeCz,Picardy 2006 Chardonnay (Pemberton),Chardonnay,Picardy,#440154
2517,Australia,"A perplexing wine to evaluate, the 2010 RunRig (97% Shiraz and 3% Viognier) evolves rapidly once poured, going from slightly stewed and overoaked to a wine that shows considerable class within 20 minutes or so. Aromas and flavors of brown sugar, mocha and roasted meat give way to raspberry compote, while the creamy texture and supple tannins conceal the wine's high alcohol level with ease.",RunRig,94,225.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Torbreck 2010 RunRig Shiraz-Viognier (Barossa Valley),Shiraz-Viognier,Torbreck,#462F7C
2587,Australia,"The most aromatically complex of the FE 2012 Rieslings, the Poison Hill offers beguiling scents of tangerine sherbet and Earl Grey tea. It's almost too perfumy for its soft, medium-bodied structure and slightly dusty-textured finish, but those floral elements are also its appeal. Drink now–2020+.",Poison Hill Vineyard,90,35.0,Western Australia,Frankland River,,Joe Czerwinski,@JoeCz,Frankland Estate 2012 Poison Hill Vineyard Riesling (Frankland River),Riesling,Frankland Estate,#443982
2594,Australia,"Made in a superripe, dense, almost fudge-like style, The Ripper tastes like a plummy, chocolaty Christmas cake with slightly coarse tannins on the finish. It's Port-like in flavor, but without the heat from elevated alcohol. Drink it over the next few years.",The Ripper,90,20.0,Western Australia,Geographe,,Joe Czerwinski,@JoeCz,Hope Estate 2010 The Ripper Shiraz (Geographe),Shiraz,Hope Estate,#471669
2598,Australia,"An easy-drinking introduction to Shiraz from Western Australia's Great Southern region, the 2010 Omrah offers gentle cherry and cedar notes accented by hints of chocolate and roasted meat. It's medium to full bodied, with a round, supple mouthfeel that ends in a wash of softly dusty tannins.",Omrah,90,20.0,Western Australia,Western Australia,,Joe Czerwinski,@JoeCz,Plantagenet 2010 Omrah Shiraz (Western Australia),Shiraz,Plantagenet,#471669
2600,Australia,"There's a lot to like in this effort: ample dark fruit, complex notions of tea leaves and dried grasses, and a richly textured, long finish. The wine is medium bodied and not very tannic, making it easy to sip repeatedly. Drink it over the next 8–10 years.",Finisterre,90,30.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Robert Oatley 2009 Finisterre Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,Robert Oatley,#471163
2611,Australia,"This is a solid value in the world of Cabernet. Textbook notes of cassis and mint lead the way, framed by supple tannins and dressed up with hints of graham crackers and black tea. This is medium to full in weight, with a mouthwatering, velvety finish that belies its price point. Drink now–2020+.",Book Ends,90,21.0,Western Australia,Western Australia,,Joe Czerwinski,@JoeCz,West Cape Howe 2009 Book Ends Cabernet Sauvignon (Western Australia),Cabernet Sauvignon,West Cape Howe,#471163
2617,Australia,"Smooth and medium-bodied, with modest cherry scents and cassis and tobacco flavors. Soft and lacking energy on the finish, but clean.",,83,8.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Black Swan 2006 Cabernet Sauvignon (South Eastern Australia),Cabernet Sauvignon,Black Swan,#471163
2631,Australia,"A drink-now style of warming Shiraz, with plenty of weight and richness, soft tannins and flavors that artfully combine sour plum, cracked pepper, rare beef and chocolate. Drink it over the next few years.",Usual Suspects,90,20.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Hesketh 2008 Usual Suspects Shiraz (McLaren Vale),Shiraz,Hesketh,#471669
2640,Australia,"This pale salmon rosé is a reliable sparkling wine at a very good price. The latest NV release is toasty on the nose, then offers just faint hints of peach or berry flavors. It's lithe yet creamy on the palate, with a long finish.",Premium Brut Rosé,90,22.0,Tasmania,Tasmania,,Joe Czerwinski,@JoeCz,Jansz NV Premium Brut Rosé Sparkling (Tasmania),Sparkling Blend,Jansz,#38578C
2642,Australia,"Each Jacob's Creek Reserve wine is now sourced from a specific region, and this Chardonnay shows solid improvement as a result. It's medium in body, with notes of grilled pineapple and sweet corn and a brisk, citrusy finish. Drink it over the next 6–9 months.",Reserve,89,13.0,South Australia,Adelaide Hills,,Joe Czerwinski,@JoeCz,Jacob's Creek 2009 Reserve Chardonnay (Adelaide Hills),Chardonnay,Jacob's Creek,#440154
2949,Australia,"This wine is a bit hard and ungenerous but certainly not lacking in concentration or intensity. Cassis and cedar scents give way to dark, chocolaty flavors. There's not a lot of bright fruit or nuance, but it will ably partner simple grilled meats.",,86,14.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Woolundry Rd 2006 Cabernet Sauvignon (South Australia),Cabernet Sauvignon,Woolundry Rd,#471163
2953,Australia,"Features pleasant but slightly simple flavors of candied cherries and cedar, with a smooth mouthfeel and just a hint of tannin on the finish. Drink now. Imported by Walca International.",,86,19.0,South Australia,Adelaide Plains,,Joe Czerwinski,@JoeCz,Ceravolo 2006 Cabernet Sauvignon (Adelaide Plains),Cabernet Sauvignon,Ceravolo,#471163
2956,Australia,"There's a tobacco and tomato leaf character that gives this an almost floral aroma, but also simpler cassis and cherry fruit. Some herbal notes persist on the palate, but this medium-bodied wine avoids the vegetal side of things, finishing fresh and clean.",Prelude Vineyards,86,29.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Leeuwin Estate 2003 Prelude Vineyards Cabernet Merlot (Margaret River),Cabernet Merlot,Leeuwin Estate,#365B8C
2958,Australia,"This is a perfectly fine example of Clare Valley Cabernet, one that emphasizes refinement and elegance over sheer power and intensity. Cassis, tobacco and a hint of vanilla account for the bulk of the aromatic and flavor interest, and it turns mouthwatering on the finish. Should hold well through 2015.",,86,37.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Pearson Vineyards 2005 Cabernet Sauvignon (Clare Valley),Cabernet Sauvignon,Pearson Vineyards,#471163
2965,Australia,"Shows some slightly green tomato-leaf and bell-pepper notes as well as hints of leather and hung game, but despite all that, there's also ripe cassis and chocolate flavors and a supple mouthfeel. Imported by MHW,Ltd.",,85,16.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Red Mud 2004 Cabernet Sauvignon (South Australia),Cabernet Sauvignon,Red Mud,#471163
